Việt ngữ,Pháp ngữ,Hán ngữ,Giải nghĩa
chuyên-tâm,s'occuper entièrement de; s adonner entièrement à,專心,Chuyên một bụng mà nghĩ cái gì hay làm việc gì.
chuyên-trị,s'occuper spécialement d'une chose; se spécialiser pour une science,專治,"Chuyên học về một thứ, chuyên làm vào một nghề."
cơ-bản,"fondement, base",基本,"Nền, gốc; nghĩa là cái cốt yếu để làm việc gì, như nhà có nền, cây có gốc."
cổ-chung,"tambour et cloche; joie; propager une bonne action, une bonne nouvelle; propagande",鼓鐘,"Trống chuông, nghĩa bóng nói truyện vui vẻ hoà-hiệp, hoặc đem một việc hay là một điều gì khua gỗ cho thiên-hạ biết."
cổ-điển-chủ-nghĩa,humanisme,古典主義,Chủ-nghĩa trọng sự văn-học đời cổ-đại.
cổ-điển-học-vấn,culture classique,古典學問,"Sự học văn-chương cũ, học những sách vở đời cổ-đại."
cổ-đô,ancienne capitale,故都,Kinh-đô cũ.
cổ-động,"battre le tambour, faire de la propagande",鼓動,Kêu rao cho mọi người đều biết như là đánh trống ầm tiếng lên.
cơ-giới,"machine, appareil; outillage",機械,Đồ máy móc.
cổ-hương,village natal; pays des ancêtres,故鄉,"Làng cũ, quê hương mình."
công-bố,"proclamer, promulguer, publier",公布,Cáo truyền cho mọi người đều biết.
công-chúng,public; en public,公衆,Chỉ công-đồng cả các người.
công-cộng sự-nghiệp,"œuvre commune, tâche commune",公共事業,Công nghiệp cả một đám người chung cùng nhau làm.
công-dân,citoyen,公民,Những người có quyền làm dân trong nước.
cống-hiến,"offrir en hommage, en tribut",貢獻,"Cống lên, dâng lên, đem cái đồ gì biếu."
cơ-nghiệp,patrimoine morale (légué par le passé),基業,Cơ-đồ ông cha gây-dựng truyền-dỗi cho con cháu.
công-khoá,travail d'écolier; matière du programme d'étude,功課,Những công việc phải làm trong nhà trường.
công-lao,peine et mérite,功勞,Công khó nhọc.
công-lệ,règle commune,公例,Cái lệ xưa nay vẫn nhất-định như thế.
công-lợi công-ích,"bien public; œuvre d'intérêt, d'utilité publique",公利公益,"Sự lợi chung, ích chung cho cả mọi người trong nước."
công-luận,"opinion juste, jugement impartial; opinion publique",公論,"Lời công không có thiên-vị về bên nào, không câu-chấp một ý-kiến nào."
công-lý,la raison; le droit,公理,Nhẽ chung mọi người đều cho thế là phải.
công-nghĩa,"justice; sentiment de justice, d'équité; ce qui est juste, ce qui est conforme à la justice",公義,"Nghĩa chung trong đời, ai ai cũng cho như thế là phải."
công-nghiệp,œuvre,功業,Làm nên có công-cán sự-nghiệp to-tát hơn người.
công-ngọc,se dit d'une pierre dure pouvant servir à polir le jade,攻玉,"Kinh thi : « Tha sơn chi thạch, khả dĩ công ngọc », nghĩa là đá ở núi có thể dùng để mài ngọc được."
công-nhận,"ratifié, reconnu, approuvé par le public",公認,Ai nấy cũng đều ưng-nhận như thế.
công-nhiên,"clairement, publiquement, au vu et au su de tous",公然,Rõ-ràng ai cũng thấy như thế cả.
công-thần,sujet méritant,功臣,Bầy tôi có công.
công-thương,l'industrie et le commerce,工商,"Nghề làm thợ, nghề đi buôn."
công-trình,œuvre,工程,"Việc gì to tát, phải có công sếp đặt chỉnh đốn."
công-văn,"lettres, documents officiels",公文,"Giấy má việc nhà nước, tờ tư, tờ sức, v. v."
cổ-nhân,ancien ami,故人,"Người cũ, người quen biết nhau đã lâu."
cố-nhiên,"bien entendu, évidemment",固然,Đã hẳn như thế.
cơ-quan,organe,機關,"Máy móc, then máy, đồ-dùng, phần quan-trọng, cốt-yếu (Dùng trong chữ: Báo cơ-quan thì nghĩa là cái báo làm then máy, làm đồ-dùng cho nhà-nước.)"
cơ-quan (súng),mitrailleuse,機關槍,"Súng có máy vặn, một phút đồng-hồ bắn được mấy trăm viên đạn, mang đi mang lại dễ."
cơ-sở,"base, fondement; première pierre d'un bâtiment",基礎,"Nền gốc, phần cốt chính; nền nhà đặt đá tảng, là lúc mới bắt đầu làm nhà. Phàm việc gì mới gây nên nền nếp cũng như lúc mới dựng nhà."
cổ-sử,histoire ancienne,古史,Sách sử đời thượng-cổ.
cơ-thể,organisme,機體,"Gồm các cơ-quan, bộ-phận trong một con vật, một cái máy, v. v."
cô-thôn,hameau solitaire,孤村,Chỗ xóm lẻ.
cơ-trục,"axe d'une machine, partie principale (d'un organisme, etc.)",機軸,Cái trục có máy để chuyển vận trong một cơ thể; phần cốt chính.
cổ-văn,littérature ancienne,古文,Văn đời xưa.
cổ-vũ,s'enthousiasmer ; faire de la propagande (pour une œuvre),鼓舞,"Chính nghĩa là đánh trống, múa. Dùng rộng nghĩa thì là vui vẻ nhiệt-thành mà xướng-xuất việc gì, hoặc đưa tin phao truyền cho nhiều người biết."
cục-chế,bureaucratie,局制,Các cuộc của nhà-nước xếp đặt để biện việc.
cực-điểm,"le plus haut point, le degré le plus élevé; maximum, summum",極點,"Chỗ cùng tột; đến thế là cùng, không còn bực nào hơn nữa."
cử-chỉ,manières et gestes,舉止,"Cắt nhắc, đi đứng; nói cái dáng điệu người ta."
cực-lực,de toutes ses forces; d'une manière intensive,極力,Làm cố hết sức.
cục-ngoại,"qui reste en dehors d'une entreprise, qui n'y prend pas part; qui n'occupe aucune fonction publique; simple spectateur d'un événement",局外,"Ngoài cuộc, người ở ngoài không dự vào cái việc đó."
cự-li-độ,"distance, portée (d'une arme)",距離度,"Độ cách xa, sức bắn xa."
cung-cấp,fournir; ravitailler,供給,"Cung cho đủ, đem cho người ta những đồ mà người ta thiếu thốn để được đủ dùng."
cử-nghiệp,science officielle; culture littéraire en vue du concours,擧業,"Lối học chỉ chủ để làm quan, lối học văn chương để đi thi."
cử-nghiệp,se dit des examens et concours; d'un enseignement donné en vue des examens et concours,舉業,"Sự thi-cử đỗ-đạt, nói « cái học cử-nghiệp » là cái học chuyên về sự thi-cử đỗ-đạt."
cước-chú,note explicative ou commentaire placé au bas d'un texte,腳註,Chua ở dưới để thích nghĩa hoặc nói rõ ý chữ gì câu gì ở trên.
cương-cường,energique et fort,剛強,"Cứng cỏi, mạnh tợn."
cương-giới,"frontière, limites, confins du royaume",疆界,Bờ cõi trong nước.
cưỡng-hoá,"assimiler par force, par contrainte",強化,"Bắt ép người ta, phải hoá theo mình."
cường-lân,voisin puissant,強鄰,Nước bên cạnh mà mạnh hơn nước mình.
cường-quyền đoạt công-lý,la force prime le droit,強權奪公理,Lấy quyền sức mạnh mà lấn ép nhẽ phải.
cự-phách,le doigt le plus gros; l'homme le plus renommé,巨擘,"Một ngón tay lớn hơn cả các ngón kia, ví như một người giỏi hơn cả trong một bọn người."
cứu-cánh,"dernier, suprême, ultime",究竟,"Cuối cùng, sau cùng, cùng cực, đến thế là thôi không còn gì nữa."
cựu-học,vieille culture; enseignement traditionnel,舊學,"Học cũ, sự học ngày trước mà ngày nay không thích hợp, như chữ Hán ở nước ta, đối với Tân-học 新 學 là học mới thích-hợp với đương-thời."
cửu-như,les neuf souhaits en l'honneur de l'empereur,九如,"Lời chúc-tụng vua được phúc lộc nhiều: 1° như mặt giời vừa mọc, 2° như mặt giăng gần tới tuần rằm, 3° như núi không bao giờ mòn, 4° như sông không bao giờ cạn, 5° như gò không bao giờ lở, 6° như đống đất càng to, 7° như quả đồi càng ngày càng cao, 8° như cây Thông cây Trắc thường tốt không bao giờ khô, 9° như núi Nam-sơn thọ mãi ngàn muôn năm không bao giờ đổ. Điển ở thơ thiên-bảo 天 保 trong kinh Thi 詩."
cựu-sầu,tristesse ancienne; ce qui a été l'objet d'un chagrin,舊愁,"Sầu cũ, sự buồn-rầu, tức-bực khi trước."
cựu-thần,ancien serviteur de l'etat ou de la dynastie,舊臣,"Bầy tôi cũ, người giúp việc nhà-nước đã lâu, cũng như cổ-thần 故 臣."
cứu-thế,sauveur du monde,救世,"Giúp đời, cứu giải tai nạn cho đời."
cửu-tiêu,les neufs régions du ciel ; l'empyrée,九霄,Trên chín tầng mây xanh.
cựu-truyền,tradition,舊傳,"Tục cổ phép cũ đời trước di-truyền lại, đời này phải theo. (Chữ tổ-truyền 祖傳 cũng cùng một nghĩa ấy.)"
cứu-viện,"porter secours, donner une aide, une assistance; venir à la rescousse",救援,Cứu giúp kẻ nguy nạn.
đa-cảm,sensible,多感,"Người hay cảm, người có lắm tình-cảm, trông thấy truyện gì, vật gì cũng động lòng mà sinh ra nghĩ ngợi."
đắc-chí,etre satisfait; arriver au comble de ses désirs,得志,"Được thoả chí, làm việc gì được như ý của mình."
đặc-quyền,droit spécial; privilège,特權,"Quyền riêng, quyền chỉ một mình mình có."
đặc-tính,"caractère particulier; caractéristique, particularité",特性,"Tính riêng, tính-chất riêng của một người một vật gì không giống như các người khác vật khác."
đại-bác,"canon, pièce d'artillerie",大砲,"Súng nhơn, súng « thần-công », dùng để bắn đạn to."
đại-để,"en général, d'une façon générale",大抵,"Tóm tắt cả lại, nói đại khái."
đại-động-cơ,facteur puissant,大動機,"Một cái máy có sức chuyền-động nhơn, nghĩa bóng là cái gì nó làm cho biến đổi cực mau, cực mạnh."
đại-giá,"prix, rançon, garantie",代價,"Cái giá để thế vào, thay vào, đền vào. Như được một sự hơn phải một sự thiệt thì cái thiệt ấy là đại-giá cho cái hơn."
đái-lĩnh,commander (une armée),帶領,Nói về ông tướng cầm quân.
đại-số học,algèbre,代數學,Là phép học tính lấy chữ dùng thay số.
đại-tài,grand talent; homme de génie,大才,"Tài lớn, tài giỏi hơn người."
đại-trí,grand esprit,大智,Người có trí khôn biết suy xét được nhiều.
đại-tư-giáo,cardinal,大司教,"Là chức cao hơn nhất trong đạo Thiên-chúa, dưới chức Giáo-hoàng."
đảm-nhiệm,"s'engager à, prendre la responsabilité de",擔任,"Gánh vác lấy công việc gì, giữ trách-nhiệm vào mình."
đàn-điểm,réunion solennelle,壇坫,Là nơi hội họp nghiêm-trang.
dân-đoàn,"les hommes, le peuple (vivant en société)",民團,"Một bọn nhân dân cùng đoàn kết với nhau, cùng ở một xứ."
đan-độc,isolé; seul; unique,單獨,Riêng lẻ ra có một người hay riêng một cái gì. (đọc là Đơn-độc cũng được).
đẳng-cấp,"classe sociale, caste; catégorie sociale",等級,"Hạng người, bực người trong xã-hội."
đăng-cực,avènement au trône,登極,Lên ngôi vua.
đăng-lâm,faire une ascension de montagne; contempler un paysage du haut d'une montagne,登臨,"Khi đi du-lịch trèo lên núi xem, lại trông xuống dòng nước ở dưới chân núi."
đăng-lục,débarquer des troupes,登陸,Đem quân dưới tàu lên cạn.
đăng-mê,sorte de jeu de mots; devinette,燈謎,"Một thứ đánh-đố của Tàu, một nghề chơi đố bằng chữ nghĩa, hoặc lấy một câu thơ, một bài thơ mà đố là vật gì, hay giống vật gì, hay tên người nào, hay một câu xuất-xứ ở trong sách nào. Có khi lấy một câu chữ nguyên trong sách hay đặt ra một vài câu viết lên đèn bóng cho người ta trông mà đố cũng được."
đăng-tiên,monter au séjour des immortels,登仙,Lên chốn cung tiên.
đảng-tranh,lutte de partis,黨爭,Bè đảng tranh giành nhau.
đàn-hạch,"critiquer; reprendre quelqu'un (pour un tort, une faute)",彈劾,Lấy lời nghiêm chỉnh mà hạch lạc.
danh-dự,"honneur, réputation, renom",名譽,"Tiếng khen, có danh tiếng người ta khen ngợi."
danh-hoạ,"belle peinture, beau tableau",名畫,Bức tranh vẽ đẹp.
danh-lợi bôn-xu,courir à la recherche du profit et des honneurs,名利奔趨,Chạy chọt theo đuổi về đường công danh lợi lộc.
danh-thắng,"lieu célèbre (beauté naturelle, lieu historique)",名勝,"Chỗ cổ-tích, nơi phong-cảnh đẹp có tiếng xưa nay."
dân-sinh quốc-kế,"litt. vie du peuple, moyens de gouvernement; ce qui regarde la vie politique et économique d'un pays, d'un peuple",民生國計,"Việc làm ăn của dân, việc lo tính trong nước, những truyện có ích-lợi cho dân cho nước."
đàn-tinh-đàm-tứ,"étudier, réfléchir a fond; déployer toute l'ardeur de son esprit et de son intelligence",殫精覃思,"Cố gắng cho hết tinh lực, suy nghĩ cho thấu tình tứ, nghĩa là làm nghề gì, hay là chăm nghề học, cũng phải chuyên chú tinh thần mà làm."
dân-tộc nghị-hội,assemblée délibérative réunissant les délégués de toute une nation; parlement national,民族議會,Một dân tộc nhóm nhau lại một chỗ cử người thay mặt bàn công việc.
dân-trí khai-thông,développement intellectuel du peuple,民智開通,"Trí dân mở rộng, dân khôn nhiều trí-thức."
dân-ý cơ-quan,"organe de l'opinion populaire (un journal, une assemblée délibérative ou consultative)",民意機關,[...] cái chỗ để tỏ ý chung của cả một dân tộc.
dao-đài,palais de jade (séjour des immortelles),瑤臺,"Đền bằng ngọc giao, đền của tiên ở."
đào-dưỡng-tính-tình,cultiver les bons sentiments,陶養性情,Nuôi nấng tính tình cho được điều hoà thoả thích.
đạo-mạo,visage solennel (se dit des professeurs),道貌,"Giáng mặt đạo-đức, trịnh trọng, đáng làm ông thầy."
